Medium,Values
Sprayed bronze synthetic polymer paint on paper,1
"Stencil, printed in color on perforated, cut, collaged and sewn dark gray, smooth, wove",1
"Oil on canvas, six parts",1
Oil on four albumen prints on board with gouache,1
28 lithographed illustrations,1
Oil on plywood with painted metal,1
Deluxe edition journal,1
"Portfolio of eight screenprints, one offset and one lithograph
",1
Album of twelve gelatin silver prints (Rayographs),1
Offset printed poster,1
"Ballpoint pen, felt-tip pen, and Pan American Airlines Time Selector on transparentized paper",1
Two linoleum cuts,1
Illustrated Book with 5 lithographs and photolithographic reproductions,1
Multiple of cast brass and cast lead,1
Artist's book with bound-in drawing,1
Ink on cut-and-pasted papers on paper,1
Gelatin silver printing-out-print,1
"Portfolio of 19 digital prints (12 with lithography, 1 with pochoir, 1 with hand coloring, and 1 with gold dusting) and 1 lithograph",1
"Gouache, ink, and cut-and-pasted printed paper on photograph mounted on canvas",1
"Gelatin silver print, mounted on paper with pencil and felt-tip pen additions, in frame",1
Wood box containing offset sheets,1
"Pencil, ballpoint pen, and ink on paper",1
"Glass, chrome, and injection-molded plastic",1
Felt-tip pen and watercolor on two pieces of paper on board with wood frame,1
One of a series of three aquatint and etchings,1
Illustrated book with four line block reproductions,1
"Fifteen etching and aquatints; and eight etching, drypoint, and pochoirs",1
Periodical with eight woodcuts (one on cover) by Jerzy von Hulewicz,1
"Plastic thread, jute, cotton, and wool",1
"Wood box with offset labels, containing 92 offset cards",1
"Wire, padded leather, and metal glides",1
Portfolio of seven screenprints and one etching and aquatint,1
Illustrated book with 13 etchings (including table of etchings); 67 wood engravings (cut by George Aubert after Picasso drawings); and 16 pages reproducing (lineblock) dot and line drawings,1
"gray. Screenprint, printed in color",1
"Cut and pasted electrostatic print, cut and pasted halftone lithograph, graphite and pressure sensitive transfer type on board",1
Lithograph with stencil and paper and gold leaf collage,1
Series of six drypoints,1
Chromed metal and incandescent tube,1
"Screenprint on seven sheets with punched hole additions, string and pole",1
"30 woodcuts (including head- and tailpieces and ornament), 29 printed in black and 1 printed in color",1
"1. Pencil and colored pencil on paper
2. Pencil on paper
3. Pencil on paper
4. Pencil and ink on paper",1
Oil on paper with frame,1
Scraper and engraving,1
"Plastic box with offset label, containing 64 playing cards",1
"Assemblage of printed paper, gelatin silver prints, paperboard, ink, gouache, pencil, and watercolor on painted paperboard",1
Cover with linoleum cut illustration with watercolor additions on front; 2 linoleum cut illustrations with watercolor additions,1
"Plastic box with offset label, containing eighteen offset cards",1
"a: Cut-and-pasted gelatin silver print with crayon on board; b: Cut-and-pasted fabric with crayon, colored pencil, and pencil on board",1
"Chromogenic color prints, map, typewritten text on paper",1
"Nylon, pantyhose, sand, and cardboard roll",1
Fabric and hangers,1
"Aquatint, softground etching and drypoint, inked in color, printed from 2 (or more?) plates as a monotype",1
"Chromogenic color print
",1
"Felt-tipped pen, graphite, crayon, and ink stamps on diazotype",1
Set of four woodcuts,1
"Lithograph with collage addition from a portfolio of ten etchings, lithographs, screenprints and photographs",1
"Bronze, six parts",1
"Watercolor and gelatin silver print on paper, glued to album page",1
Watercolor on nine pieces of paper,1
Pencil and colored pencil on yellow tracing paper,1
"Milk bottles, steel, and light bulbs",1
Steel wool,1
"Pencil, colored pencil, and felt-tip pen on graph paper",1
"Mounted photographic enlargement of the dictionary definition of ""definition""",1
Painted fiberglass and resin,1
"Etching, aquatint and metallic relief on four plates",1
"Chromogenic color prints, printed 1978",1
"Wood, leather, and brass",1
"Periodical with four woodcuts; cover by Willi Tegtmeier, additional prints by Franz Schulze, Conrad Felixmüller, and Karl Jacob Hirsch",1
"Lithograph from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts


",1
Oil over charcoal on gray board,1
"Cover with lithographed manuscript design and illustration on front, and lithographed manuscript text on back; 4 photomechanical reproductions; all pages printed on pale green paper",1
"Plastic box with offset label, containing plaster with ink",1
"Illustrated book with 10 aquatints (8 with drypoint, and 3 with etching)",1
12 collotype and pochoir reproductions after Utrillo gouaches; collotype reproductions after drawings by various artists; reproductions of manuscript sheets; and supplementary suite of 12 collotype and pochoir reproductions after Utrillo,1
Supplementary musical score,1
"Cardboard box with letterpress, containing five offsets and five offsets on board",1
"Watercolor, metallic paint, and pen and ink on paper",1
Paintstick on tracing paper,1
"Assemblage of lens, mirrored glass plate, springs, steel wool, glue, and nails mounted on board",1
Synthetic polymer paint on paper in artist's frame,1
"Lift ground aquatint, printed in black, with pastel additions",1
"Painted metal, fabric, wood.",1
"Drypoint, with ink hand additions",1
"Polycarbonate, chromed sheet-metal and plastic",1
"Portfolio of ten offset lithographs, eight with ink additions",1
Inkless embossing,1
Presstype on cut-and-pasted paper on printed map with pencil,1
"Plastic box with offset label containing magnet, springs, and bells",1
Watercolor and gouache on mulberry paper,1
"Oil, enamel and casein on canvas",1
Graphite stencil on vellum,1
"Cut-and-pasted printed paper, gouache, synthetic polymer paint, felt-tip pen, ink, and pencil on transparentized paper",1
"Illustrated book with six etchings, two etchings and aquatints, two engravings, one aquatint, one drypoint, one etching, aquatint and drypoint and one woodcut",1
Silver-gelatin photograph,1
Artist's book with drawing,1
One from a portfolio of six lithographs on chine appliqué,1
"Cut-and-pasted paper with pencil, watercolor, and synthetic polymer paint on paper
",1
Portfolio of 44 offset lithographs,1
Tempera on paper mounted on composition board,1
"2 pencil drawings; and 2 etchings (1 with aquatint), 10 woodcuts, 17 wood engravings, and 2 line blocks, printed in black",1
Gelatin silver emulsion on canvas,1
"Periodical with seven woodcuts; cover by Heinrich Hoerle, additional prints by Conrad Felixmüller, Christian Schad, Karl Jacob Hirsch, Marie Rosalie (Mitzi) Friedmann-Otten, Josef Capek, and Augusta von Zitzewitz",1
"Soft ground etching and embossing, printed in black",1
Copper mounted on wood,1
Offset on card with one duplicate,1
Ballpoint pen and pencil on transparentized paper,1
"2 wood engravings, printed in color",1
".a: Pencil and watercolor on paper
.b: Watercolor, metallic paint and pencil on paper",1
"117 wood engravings (including duplicates, variants, pictorial ornaments, and ornamental initials), printed in black",1
Etching with colored pencil additions,1
"Drypoint, roulette and monotype on three sheets",1
Multiple of folding wooden ruler,1
Lineblock and letterpress,1
Illustrated book with one etching with aquatint and drypoint and photolithographic reproductions after etchings,1
"Oil on canvas, six panels",1
"Transfer drawing, cut and pasted paper, watercolor, gouache, and crayon",1
Cut-and-pasted colored paper on paper with cardstock,1
Soft ground etching and aquatint with gouache additions,1
Fiberglass shell and polystyrene liner,1
.a) Watercolor and synthetic polymer paint on paper .b) Watercolor on paper,1
"7 woodcuts (including cover and tailpieces), printed in black",1
Graphite and white pencil on paper,1
Cover with lithographed illustration on front; 5 lithographed illustrations,1
"Cardboard, metal, and acrylic cover",1
Illustrated book with five woodcuts (including initial and head and tailpieces),1
Albumen print,1
"6 woodcuts (cut by Leonard Baskin), printed in black",1
Tempera and pencil on canvas,1
"Painted aluminum and ceramic with rubber, fabric, wood, plastic, tar, and synthetic polymer paint on canvas",1
Pastel and graphite on plexiglass with square black oxide steel fasteners and hex bolts,1
"Wood chessboard with thirty-two grinder-attachment pieces and lid, with offset label and metal hinges",1
"Transparentized paper, pencil, colored pencil, and felt-tip pen on wall",1
"Twenty-six chromogenic color prints, some with spray paint, felt-tip pen, and synthetic polymer paint

a: Chromogenic color print
b: Spray paint, synthetic polymer paint, and felt-tip pen on chromogenic color print
c: Synthetic polymer paint on chromogenic color print
d: Spray paint and felt-tip pen on chromogenic color print
e: Chromogenic color print
f: Spray paint and felt-tip pen on chromogenic color print
g: Chromogenic color print
h: Synthetic polymer paint and felt-tip pen on chromogenic color print
i: Chromogenic color print
j: Spray paint and felt-tip pen on chromogenic print
k: Chromogenic color print
l: Spray paint and felt-tip pen on chromogenic color print
m: Chromogenic color print
n: Spray paint and felt-tip pen on chromogenic color print
o: Chromogenic color print
p: Spray paint and felt-tip pen on chromogenic color print
q: Chromogenic color print
r: Synthetic polymer paint and felt-tip pen on chromogenic color print
s: Chromogenic color print
t: Spray paint, synthetic polymer paint, and felt-tip pen on chromogenic color print
u: Chromogenic color print
v: Spray paint and felt-tip pen on chromogenic color print
w: Chromogenic color print
x: Spray paint and felt-tip pen on chromogenic color print
y: Chromogenic color print
z: Spray paint and felt-tip pen on chromogenic color print
",1
"6 woodcuts and 1 metal cut, printed in color",1
29 culture tubes in cardboard box and 1 Spice Fluxchess card,1
Cut and pasted electrostatic print and cut and pasted halftone lithograph on board,1
Printed silk gauze,1
"PAGE 34, PAGE 32, PAGE 27, PAGE 24: 4 wood engravings, printed in black. PAGE 11: Wood engraving, printed in color",1
Ink and crayon in paper,1
Cotton and strontium aluminate-impregnated nylon,1
Sandblasted quarter-sawed oak,1
"8 etching and aquatints, printed in color",1
Oil on canvas with recessed plaster molds,1
